"area_name","area_code","date","new_cases","total_cases"
"Hammersmith and Fulham","E09000013",2020-04-16,25,475
"Haringey","E09000014",2020-04-16,5,501
"Harrow","E09000015",2020-04-16,23,769
"Havering","E09000016",2020-04-16,22,592
"Hillingdon","E09000017",2020-04-16,19,616
"Hounslow","E09000018",2020-04-16,17,576
"Islington","E09000019",2020-04-16,7,380
"Kensington and Chelsea","E09000020",2020-04-16,9,414
"Kingston upon Thames","E09000021",2020-04-16,20,393
"Lambeth","E09000022",2020-04-16,21,1035
"Lewisham","E09000023",2020-04-16,17,838
"Merton","E09000024",2020-04-16,14,589
"Newham","E09000025",2020-04-16,16,882
"Redbridge","E09000026",2020-04-16,16,632
"Richmond upon Thames","E09000027",2020-04-16,11,340
"Southwark","E09000028",2020-04-16,22,1116
"Sutton","E09000029",2020-04-16,23,607
"Tower Hamlets","E09000030",2020-04-16,12,579
"Waltham Forest","E09000031",2020-04-16,13,670
"Wandsworth","E09000032",2020-04-16,20,859
"Westminster","E09000033",2020-04-16,10,571
"Barking and Dagenham","E09000002",2020-04-17,10,440
"Barnet","E09000003",2020-04-17,21,1104
"Bexley","E09000004",2020-04-17,19,590
"Brent","E09000005",2020-04-17,38,1233
"Bromley","E09000006",2020-04-17,26,953
"Camden","E09000007",2020-04-17,11,516
"Croydon","E09000008",2020-04-17,34,1244
"Ealing","E09000009",2020-04-17,22,952
"Enfield","E09000010",2020-04-17,36,725
"Greenwich","E09000011",2020-04-17,12,615
"Hackney and City of London","E09000012",2020-04-17,9,588
"Hammersmith and Fulham","E09000013",2020-04-17,17,492
"Haringey","E09000014",2020-04-17,7,508
"Harrow","E09000015",2020-04-17,27,796
"Havering","E09000016",2020-04-17,10,602
"Hillingdon","E09000017",2020-04-17,33,649
"Hounslow","E09000018",2020-04-17,18,594
"Islington","E09000019",2020-04-17,12,392
"Kensington and Chelsea","E09000020",2020-04-17,8,422
"Kingston upon Thames","E09000021",2020-04-17,22,415
"Lambeth","E09000022",2020-04-17,12,1047
"Lewisham","E09000023",2020-04-17,29,867
"Merton","E09000024",2020-04-17,21,610
"Newham","E09000025",2020-04-17,16,898
"Redbridge","E09000026",2020-04-17,20,652
"Richmond upon Thames","E09000027",2020-04-17,7,347
"Southwark","E09000028",2020-04-17,16,1132
"Sutton","E09000029",2020-04-17,24,631
"Tower Hamlets","E09000030",2020-04-17,3,582
"Waltham Forest","E09000031",2020-04-17,11,681
"Wandsworth","E09000032",2020-04-17,21,880
"Westminster","E09000033",2020-04-17,8,579
"Barking and Dagenham","E09000002",2020-04-18,7,447
"Barnet","E09000003",2020-04-18,15,1119
"Bexley","E09000004",2020-04-18,10,600
"Brent","E09000005",2020-04-18,28,1261
"Bromley","E09000006",2020-04-18,15,968
"Camden","E09000007",2020-04-18,15,531
"Croydon","E09000008",2020-04-18,33,1277
"Ealing","E09000009",2020-04-18,19,971
"Enfield","E09000010",2020-04-18,17,742
"Greenwich","E09000011",2020-04-18,10,625
"Hackney and City of London","E09000012",2020-04-18,6,594
"Hammersmith and Fulham","E09000013",2020-04-18,4,496
"Haringey","E09000014",2020-04-18,4,512
"Harrow","E09000015",2020-04-18,15,811
"Havering","E09000016",2020-04-18,11,613
"Hillingdon","E09000017",2020-04-18,21,670
